EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,prediction_label,prediction_score
14,47,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,Yes,Yes,0.9
15,28,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,No,No,0.98
16,37,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,No,No,0.97
17,21,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,No,No,0.99
18,37,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,No,No,0.99
19,35,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,No,No,1.0
20,38,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,No,No,0.99
21,26,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,No,No,0.99
22,50,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,No,No,1.0
23,53,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,No,No,0.99
24,42,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,,4,20,11,6,2.0,3.0,3.0,1,3,No,No,0.91
25,29,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,No,No,1.0
26,55,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,No,No,0.96
27,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,No,No,0.99
28,37,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,No,No,0.95
29,44,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,Yes,Yes,0.82
30,38,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,No,No,0.99
31,26,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,Yes,Yes,0.94
32,28,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,No,No,0.83
33,49,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,No,No,1.0
34,36,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,No,No,1.0
35,31,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,No,No,0.99
36,26,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,Yes,Yes,0.97
37,37,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,No,No,1.0
38,42,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,No,No,0.98
39,18,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,Yes,Yes,0.97
40,35,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,No,No,1.0
41,36,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,3.0,,3.0,2,3,No,No,0.96
42,51,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,No,No,1.0
43,41,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,No,No,1.0
44,18,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,No,No,0.96
45,28,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,No,No,0.96
46,31,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,No,No,1.0
47,39,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,No,No,0.99
48,36,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,No,No,0.98
49,32,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,No,No,0.96
50,38,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,No,No,0.99
51,58,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,No,No,1.0
52,31,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,No,No,0.98
53,31,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,No,No,1.0
54,45,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,No,No,1.0
55,31,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,No,No,0.95
56,33,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,No,No,0.98
57,39,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,No,No,0.99
58,43,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,No,No,1.0
59,49,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,No,No,0.99
60,52,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,Yes,Yes,0.84
61,27,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,No,No,0.92
62,32,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,No,No,0.84
63,27,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,No,No,0.98
64,31,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,No,No,0.99
65,32,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,No,No,0.9
66,28,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,Yes,Yes,0.96
67,30,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,No,No,0.99
68,31,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,No,No,0.96
69,39,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,No,No,0.92
70,39,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,Yes,Yes,0.95
71,33,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,No,No,0.92
72,47,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,No,No,0.97
73,43,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,No,No,1.0
74,27,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,No,No,0.95
75,54,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,No,No,1.0
76,43,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,No,No,1.0
77,45,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,No,No,1.0
78,40,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,No,No,0.95
79,29,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,Yes,Yes,0.96
80,29,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,No,No,0.95
81,30,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,No,No,0.98
82,27,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,No,No,0.99
83,37,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,No,No,1.0
84,38,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,No,No,1.0
85,31,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,3.0,4.0,,3,3,No,No,0.98
86,29,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,No,No,0.92
87,35,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,No,No,0.99
88,23,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,No,No,0.87
89,41,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,No,No,0.91
90,47,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,No,No,0.99
91,42,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,No,No,0.97
92,29,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,No,No,0.93
93,42,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,No,No,0.96
94,32,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,No,No,0.97
95,48,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,No,No,1.0
96,37,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,No,No,1.0
97,30,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,No,No,0.95
98,26,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,No,No,0.98
99,42,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,No,No,0.99
100,21,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,Yes,Yes,0.86
101,36,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,No,No,0.98
102,36,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,No,No,0.99
103,57,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,No,No,0.99
104,40,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,No,No,1.0
105,21,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,No,No,0.96
106,33,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,Yes,Yes,0.89
107,37,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,No,No,1.0
108,46,Non-Travel,Sales,2,4,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,No,No,0.98
109,41,Travel_Frequently,Research & Development,16,1,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,Yes,Yes,0.94
110,50,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,No,No,0.96
111,40,Travel_Rarely,Research & Development,8,3,Medical,1,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,Yes,Yes,0.92
112,31,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,,2.0,3.0,3,4,No,No,1.0
113,21,Travel_Rarely,Human Resources,10,2,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,Yes,Yes,0.95
114,29,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,No,No,0.96
115,35,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,No,No,1.0
116,27,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,,Y,12,8,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,No,No,1.0
117,28,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,No,No,0.94
118,49,Travel_Rarely,Sales,2,3,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,No,No,0.98
119,51,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,No,No,0.93
120,36,Travel_Rarely,Sales,15,2,Life Sciences,1,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,No,No,0.99
121,34,Non-Travel,Research & Development,7,3,Life Sciences,1,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,Yes,Yes,0.98
122,55,Travel_Rarely,Sales,26,3,Marketing,1,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,No,No,1.0
123,24,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,No,No,1.0
124,30,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,No,No,0.93
125,26,Travel_Frequently,Sales,14,3,Life Sciences,1,Male,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,6,0,4,3.0,,3.0,3,3,Yes,No,0.83
126,22,Travel_Rarely,Research & Development,16,5,Other,1,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,No,No,0.8
127,36,Travel_Rarely,Research & Development,1,3,Medical,1,Female,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,No,No,0.98
128,30,Travel_Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9.0,Y,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,Yes,Yes,0.99
129,37,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,No,No,0.98
130,40,Travel_Rarely,Research & Development,6,2,Medical,1,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,No,No,0.97
131,42,Travel_Rarely,Research & Development,2,3,Medical,1,Female,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,No,No,0.96
132,37,Travel_Rarely,Sales,9,1,Marketing,1,Male,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,No,No,0.97
133,43,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,1,Sales Executive,Divorced,46170,1.0,Y,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,No,No,0.89
134,40,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Laboratory Technician,Married,26470,6.0,Y,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,No,No,1.0
135,54,Travel_Rarely,Human Resources,9,3,Life Sciences,1,Female,2,Manufacturing Director,Married,63230,4.0,Y,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,No,No,0.94
136,34,Non-Travel,Research & Development,28,3,Medical,1,Male,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,No,No,0.97
137,31,Travel_Rarely,Research & Development,10,4,Life Sciences,1,Male,3,Sales Executive,Married,21870,1.0,Y,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,No,No,0.99
138,43,Travel_Frequently,Sales,14,3,Life Sciences,1,Female,1,Manufacturing Director,Married,37480,7.0,Y,14,8,2,,3,3,1,2,4.0,4.0,3.0,2,3,No,No,0.97
